,Unnamed: 0.1,Unnamed: 0,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,Genre_2,Genre_3,Year,Publisher,book_url
1634,,,The Right Stuff,Tom Wolfe,369,English,4.22,"51,179","1,984",Nonfiction,History,Space,1979,,https://www.goodreads.com//book/show/8146619-the-right-stuff
1635,,,The House on Mango Street,Sandra Cisneros,110,English,3.69,"171,756","15,101",Fiction,Classics,Young Adult,1984,Knopf Doubleday Publishing Group,https://www.goodreads.com//book/show/139253.The_House_on_Mango_Street
1636,,,"Good Night, Mr. Tom",Michelle Magorian,320,English,4.31,"47,154","2,529",Historical Fiction,Fiction,Classics,1981,HarperCollins,https://www.goodreads.com//book/show/161099.Good_Night_Mr_Tom
1637,,,Eva Luna,Isabel Allende,307,English,3.99,"49,620","2,108",Fiction,Magical Realism,Historical Fiction,1987,Bantam,https://www.goodreads.com//book/show/149196.Eva_Luna
1638,,,Maybe Someday,Colleen Hoover,385,English,4.08,"404,197","31,936",Romance,New Adult,Contemporary,2014,Atria Books,https://www.goodreads.com//book/show/24445517-maybe-someday
1639,,,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,256,English,4.10,"199,912","9,264",Business,Leadership,Nonfiction,2009,Portfolio,https://www.goodreads.com//book/show/7108725-start-with-why
1640,,,Chain of Iron,Cassandra Clare,591,English,4.45,"64,703","10,401",Fantasy,Fiction,LGBT,2021,Walker Books,https://www.goodreads.com//book/show/17699855-chain-of-iron
1641,,,Tatiana and Alexander,Paullina Simons,559,English,4.29,"41,347","2,838",Historical Fiction,Romance,Historical,2003,HarperCollins,https://www.goodreads.com//book/show/83143.Tatiana_and_Alexander
1642,,,Tell the Wolves I'm Home,Carol Rifka Brunt,360,English,4.03,"138,484","15,534",Fiction,Young Adult,Historical Fiction,2012,Random House,https://www.goodreads.com//book/show/12875258-tell-the-wolves-i-m-home
1643,,,The End of Eternity,Isaac Asimov,192,English,4.24,"53,364","3,092",Science Fiction,Fiction,Time Travel,1955,Fawcett Crest,https://www.goodreads.com//book/show/509784.The_End_of_Eternity
1644,,,A Court of Frost and Starlight,Sarah J. Maas,229,English,3.79,"623,643","45,996",Fantasy,Romance,Young Adult,2018,Bloomsbury YA,https://www.goodreads.com//book/show/31076583-a-court-of-frost-and-starlight
1645,,,Requiem,Lauren Oliver,391,English,3.74,"144,230","13,772",Young Adult,Dystopia,Romance,2013,HarperCollins Children's Books,https://www.goodreads.com//book/show/9593913-requiem
1646,,,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,254,English,4.70,"22,965",568,Comics,Humor,Graphic Novels,1990,Sphere,https://www.goodreads.com//book/show/59715.The_Authoritative_Calvin_and_Hobbes
1647,,,Silver Borne,Patricia Briggs,342,English,4.38,"104,329","3,508",Urban Fantasy,Fantasy,Paranormal,2010,Ace Books,https://www.goodreads.com//book/show/6587387-silver-borne
1648,,,Abhorsen,Garth Nix,358,English,4.23,"121,156","2,838",Fantasy,Young Adult,Fiction,2003,HarperCollins,https://www.goodreads.com//book/show/334643.Abhorsen
1649,,,The Physician,Noah Gordon,714,English,4.39,"48,267","2,607",Historical Fiction,Fiction,Historical,1986,Time Warner ,https://www.goodreads.com//book/show/4692.The_Physician
1650,,,Tigana,Guy Gavriel Kay,676,English,4.09,"46,488","3,112",Fantasy,Fiction,High Fantasy,1990,Berkley,https://www.goodreads.com//book/show/104089.Tigana
1651,,,The Second Sex,Simone de Beauvoir,746,English,4.16,"39,017","2,107",Feminism,Nonfiction,Philosophy,1949,Vintage,https://www.goodreads.com//book/show/457264.The_Second_Sex
1652,,,Legendborn,Tracy Deonn,501,English,4.40,"99,077","19,442",Fantasy,Young Adult,Fiction,2020,Margaret K. McElderry Books,https://www.goodreads.com//book/show/50892338-legendborn
1653,,,Xenocide,Orson Scott Card,592,English,3.81,"153,084","4,266",Science Fiction,Fiction,Fantasy,1991,Tor Books,https://www.goodreads.com//book/show/8648.Xenocide
1654,,,The Year of the Flood,Margaret Atwood,431,English,4.06,"120,331","8,402",Fiction,Science Fiction,Dystopia,2009,Doubleday Nan A. Talese,https://www.goodreads.com//book/show/6080337-the-year-of-the-flood
1655,,,Haroun and the Sea of Stories,Salman Rushdie,224,English,3.99,"33,577","2,894",Fantasy,Fiction,Magical Realism,1990,Viking Children's Books,https://www.goodreads.com//book/show/4835.Haroun_and_the_Sea_of_Stories
1656,,,La Vérité sur l'Affaire Harry Quebert,Joël Dicker,670,French,4.16,"147,122","14,622",Fiction,Thriller,Mystery,2012,De Fallois,https://www.goodreads.com//book/show/16033842-la-v-rit-sur-l-affaire-harry-quebert
1657,,,The Cat in the Hat Comes Back,Dr. Seuss,63,English,3.90,"30,421",731,Childrens,Picture Books,Fiction,1958,Begginner Books,https://www.goodreads.com//book/show/667234.The_Cat_in_the_Hat_Comes_Back
1658,,,The Foxhole Court,Nora Sakavic,237,English,4.02,"68,010","10,305",Contemporary,LGBT,Young Adult,2013,Nora Sakavic,https://www.goodreads.com//book/show/17259690-the-foxhole-court
1659,,,The Forest of Hands and Teeth,Carrie Ryan,336,English,3.60,"84,650","8,944",Young Adult,Zombies,Horror,2009,Gollancz,https://www.goodreads.com//book/show/3432478-the-forest-of-hands-and-teeth
1660,,,The Bridge on the Drina,Ivo Andrić,314,English,4.33,"19,420","1,504",Fiction,Historical Fiction,Classics,1945,University of Chicago Press,https://www.goodreads.com//book/show/3140.The_Bridge_on_the_Drina
1661,,,Thud!,Terry Pratchett,439,English,4.34,"70,319","2,090",Fantasy,Fiction,Humor,2005,Corgi,https://www.goodreads.com//book/show/62530.Thud_
1662,,,Identical,Ellen Hopkins,565,English,4.30,"61,185","3,958",Young Adult,Poetry,Fiction,2008,Margaret K. McElderry Books,https://www.goodreads.com//book/show/2241059.Identical
1663,,,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,1614,English,4.19,"126,958","3,710",History,Nonfiction,World War II,1960,Simon \u0026 Schuster,https://www.goodreads.com//book/show/767171.The_Rise_and_Fall_of_the_Third_Reich
1664,,,Ascend,Amanda Hocking,326,English,4.08,"63,349","3,788",Fantasy,Young Adult,Paranormal,2012,St. Martin's Griffin,https://www.goodreads.com//book/show/11947829-ascend
1665,,,"Sarah, Plain and Tall",Patricia MacLachlan,64,English,3.82,"83,669","3,234",Historical Fiction,Childrens,Fiction,1985,Houghton Mifflin,https://www.goodreads.com//book/show/106264.Sarah_Plain_and_Tall
1666,,,Alice's Adventures in Wonderland,Lewis Carroll,96,English,4.00,"357,643","16,080",Classics,Fantasy,Fiction,1865,Public Domain Books,https://www.goodreads.com//book/show/6324090-alice-s-adventures-in-wonderland
1667,,,Reason to Breathe,Rebecca    Donovan,377,English,4.21,"91,617","6,268",Romance,Young Adult,Contemporary,2011,,https://www.goodreads.com//book/show/11561469-reason-to-breathe
1668,,,Kiss of Midnight,Lara Adrian,402,English,3.92,"64,420","3,056",Paranormal Romance,Paranormal,Vampires,2007,Dell,https://www.goodreads.com//book/show/704043.Kiss_of_Midnight
1669,,,The Talented Mr. Ripley,Patricia Highsmith,288,English,3.94,"81,855","5,218",Fiction,Mystery,Classics,1955,W. W. Norton  Company,https://www.goodreads.com//book/show/2247142.The_Talented_Mr_Ripley
1670,,,Legendary,Stephanie Garber,451,English,4.21,"163,252","20,656",Fantasy,Young Adult,Romance,2018,Flatiron Books,https://www.goodreads.com//book/show/36329818-legendary
1671,,,Love and Other Words,Christina Lauren,432,English,4.32,"370,188","44,279",Romance,Contemporary,Fiction,2018,Gallery Books,https://www.goodreads.com//book/show/36206591-love-and-other-words
1672,,,Before I Die,Jenny Downham,336,English,3.81,"54,947","4,424",Young Adult,Contemporary,Romance,2007,David Fickling Books,https://www.goodreads.com//book/show/1314332.Before_I_Die
1673,,,The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,201,English,4.37,215,14,Psychology,Gaming,Nonfiction,2016,Amazon Digital Services,https://www.goodreads.com//book/show/36232319-the-invisible-game
1674,,,Buddenbrooks: The Decline of a Family,Thomas Mann,731,English,4.18,"28,167","1,744",Classics,Fiction,German Literature,1901,Everyman's Library,https://www.goodreads.com//book/show/80890.Buddenbrooks
1675,,,Galápagos,Kurt Vonnegut Jr.,324,English,3.87,"77,675","3,541",Fiction,Science Fiction,Classics,1985,Dial Press Trade Paperback,https://www.goodreads.com//book/show/9593.Gal_pagos
1676,,,Noble House,James Clavell,1376,English,4.26,"39,081",620,Historical Fiction,Fiction,Historical,1981,Dell,https://www.goodreads.com//book/show/390711.Noble_House
1677,,,The Snowman,Jo Nesbø,383,English,4.02,"131,565","9,742",Mystery,Crime,Fiction,2007,Knopf Publishing Group,https://www.goodreads.com//book/show/9572203-the-snowman
1678,,,Hard Times,Charles Dickens,384,English,3.54,"65,404","3,901",Classics,Fiction,Literature,1854,Pearson,https://www.goodreads.com//book/show/5344.Hard_Times
1679,,,Sputnik Sweetheart,Haruki Murakami,229,English,3.83,"145,560","9,864",Fiction,Japan,Japanese Literature,1999,Vintage,https://www.goodreads.com//book/show/9557.Sputnik_Sweetheart
1680,,,Second Foundation,Isaac Asimov,256,English,4.27,"174,657","3,905",Science Fiction,Fiction,Classics,1953,Bantam Spectra,https://www.goodreads.com//book/show/29580.Second_Foundation
1681,,,Just One Day,Gayle Forman,369,English,3.99,"83,902","8,262",Young Adult,Romance,Contemporary,2013,Speak,https://www.goodreads.com//book/show/17623975-just-one-day
1682,,,Defending Jacob,William Landay,421,English,3.99,"290,185","22,992",Fiction,Mystery,Thriller,2012,Delacorte Press,https://www.goodreads.com//book/show/11367726-defending-jacob
1683,,,The Selected Writings of Edgar Allan Poe,Edgar Allan Poe,1024,English,4.31,"1,554",21,Classics,Fiction,Poetry,1849,W. W. Norton \u0026 Company,https://www.goodreads.com//book/show/49338.The_Selected_Writings_of_Edgar_Allan_Poe
1684,,,The King of Attolia,Megan Whalen Turner,387,English,4.38,"38,350","3,616",Fantasy,Young Adult,Fiction,2006,Greenwillow Books,https://www.goodreads.com//book/show/40159.The_King_of_Attolia
1685,,,Some Girls Bite,Chloe Neill,341,English,3.99,"63,332","3,724",Urban Fantasy,Vampires,Paranormal,2009,Berkley,https://www.goodreads.com//book/show/4447622-some-girls-bite
1686,,,Warbreaker,Brandon Sanderson,688,English,4.30,"172,988","13,634",Fantasy,Fiction,High Fantasy,2009,Self-published,https://www.goodreads.com//book/show/1268479.Warbreaker
1687,,,King's Cage,Victoria Aveyard,528,English,3.93,"219,945","16,758",Fantasy,Young Adult,Dystopia,2017,HarperTeen,https://www.goodreads.com//book/show/30226723-king-s-cage
1688,,,A Bird Without Wings,Roberta Pearce,ebook,English,4.18,179,31,Romance,Contemporary Romance,Contemporary,2013,Smashwords,https://www.goodreads.com//book/show/19181419-a-bird-without-wings
1689,,,Neverseen,Shannon Messenger,672,English,4.60,"35,076","2,366",Fantasy,Middle Grade,Young Adult,2015,Aladdin,https://www.goodreads.com//book/show/22733616-neverseen
1690,,,Fun Home: A Family Tragicomic,Alison Bechdel,232,English,4.08,"168,877","11,950",Graphic Novels,Memoir,Comics,2006,Mariner Books,https://www.goodreads.com//book/show/26135825-fun-home
1691,,,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,1204,English,4.39,"13,646",669,Fantasy,Romance,Fiction,2003,Roc,https://www.goodreads.com//book/show/47953.The_Black_Jewels_Trilogy
1692,,,The Egyptian,Mika Waltari,514,English,4.18,"23,602","1,346",Historical Fiction,Fiction,Classics,1945,,https://www.goodreads.com//book/show/26216087-the-egyptian
1693,,,Wither,Lauren DeStefano,358,English,3.80,"99,472","8,221",Young Adult,Dystopia,Romance,2011,Simon \u0026 Schuster Books for Young Readers,https://www.goodreads.com//book/show/8525590-wither
1694,,,The Twits,Roald Dahl,96,English,3.97,"138,595","4,644",Childrens,Fiction,Fantasy,1980,Puffin Books,https://www.goodreads.com//book/show/31456.The_Twits
1695,,,More Than This,Patrick Ness,480,English,3.96,"62,786","8,233",Young Adult,Science Fiction,LGBT,2013,Walker Books Ltd,https://www.goodreads.com//book/show/21969786-more-than-this
